file_id	perseus_id	perseus_author	wikidata_work_id	wikidata_work_label	selected_english_translation	historian	main_language	author_code	author_wikidata_id	author_impact_date	languages	file_path	editors	pub_date	n_characters	n_words	n_pages	perseus_title	wikidata_author_in_db	instance_of	genre	form_of_creative_work	confidence
tlg0525.tlg001.perseus-eng2	tlg0525.tlg001	Pausanias	Q3825645	Description of Greece	1	0	English	tlg0525	Q192931	150	eng; grc	tlg0525/tlg001/tlg0525.tlg001.perseus-eng2.xml	W.H.S. Jones; Henry Arderne Ormerod; H.A. Ormerod	1918-1935	1541357	272537	1090	Description of Greece	Pausanias	literary work	travel book		100
tlg0535.tlg001.perseus-eng2	tlg0535.tlg001	Demades	Q87737061	Speech on Twelve Years	1	0	English	tlg0535	Q211430	-345	grc; eng	tlg0535/tlg001/tlg0535.tlg001.perseus-eng2.xml	John Ormiston Burtt	1954	16527	2938	12	On the Twelve Years	Demades	written work, oration			92
tlg0540.tlg012.perseus-eng2	tlg0540.tlg012	Lysias	Q3689204	Against Eratosthenes	1	0	English	tlg0540	Q310164	-409	eng; grc	tlg0540/tlg012/tlg0540.tlg012.perseus-eng2.xml	W.R.M. Lamb	1930	43210	7722	31	Against Eratosthenes	Lysias	literary work, oration	rhetoric		100
tlg0540.tlg013.perseus-eng2	tlg0540.tlg013	Lysias	Q87740736	Against Agoratus	1	0	English	tlg0540	Q310164	-409	eng; grc	tlg0540/tlg013/tlg0540.tlg013.perseus-eng2.xml	W.R.M. Lamb	1930	40928	7327	29	Against Agoratus	Lysias	literary work, oration			100
tlg0540.tlg002.perseus-eng2	tlg0540.tlg002	Lysias	Q5509109	Funeral Oration	1	0	English	tlg0540	Q310164	-409	eng; grc	tlg0540/tlg002/tlg0540.tlg002.perseus-eng2.xml	W.R.M. Lamb	1930	34465	5973	24	Funeral Oration	Lysias	literary work, oration			100
tlg0548.tlg002.perseus-eng2	tlg0548.tlg002	Apollodorus	Q110845454	Epitome	1	0	English	tlg0548	Q619170	-165	eng; grc; lat; gre; tr; sumerian; chin; kafir; berber; punic; srd; brahui; cretan; akk	tlg0548/tlg002/tlg0548.tlg002.perseus-eng2.xml	Sir James George Frazer	1921	450038	51166	205	Epitome	Pseudo-Apollodorus	epitome, written work			93
tlg0557.tlg001.perseus-eng4	tlg0557.tlg001	Epictetus	Q83746321	All the works of Epictetus which are now extant	1	0	English	tlg0557	Q183144	85	eng; grc; lat	tlg0557/tlg001/tlg0557.tlg001.perseus-eng4.xml	Thomas Wentworth Higginson	1890	575647	106733	427	The Discourses of Epictetus	Epictetus	version, edition or translation, editorial collection			83
tlg0557.tlg003a.perseus-eng4	tlg0557.tlg003a	Epictetus	Q83746321	All the works of Epictetus which are now extant	1	0	English	tlg0557	Q183144	85	eng; grc; lat	tlg0557/tlg003a/tlg0557.tlg003a.perseus-eng4.xml	Thomas Wentworth Higginson	1890	88862	15817	63	Fragments	Epictetus	version, edition or translation, editorial collection			65
tlg0557.tlg002.perseus-eng4	tlg0557.tlg002	Epictetus	Q2137133	Enchiridion of Epictetus	1	0	English	tlg0557	Q183144	85	eng; grc; lat	tlg0557/tlg002/tlg0557.tlg002.perseus-eng4.xml	Thomas Wentworth Higginson	1890	36883	6743	27	The Enchiridion	Arrian, Epictetus	literary work	philosophy		80
tlg0627.tlg010.perseus-eng2	tlg0627.tlg010	Hippocrates	Q124421861	The Art	1	0	English	tlg0627	Q1620003	-465	eng	tlg0627/tlg010/tlg0627.tlg010.perseus-eng2.xml	Francis Adams	1886	157411	28333	113	On the Articulations	Hippocrates	written work			100
